event_id,customer_id,event_type
E0000001,C002377,Checkout
E0000002,C002596,Add To Cart
E0000003,C004256,Menu View
E0000004,C001896,Menu View
E0000005,C000119,Checkout
E0000006,C002979,Checkout
E0000007,C004931,Restaurant View
E0000008,C001908,App Open
E0000009,C004270,Menu View
E0000010,C000720,App Open
E0000011,C001974,App Open
E0000012,C000859,Menu View
E0000013,C002307,Menu View
E0000014,C003707,Checkout
E0000015,C000024,App Open
E0000016,C000015,Menu View
E0000017,C001395,Checkout
E0000018,C000926,Add To Cart
E0000019,C002058,App Open
E0000020,C004338,Checkout
E0000021,C000172,Checkout
E0000022,C001401,Checkout
E0000023,C002469,App Open
E0000024,C001359,App Open
E0000025,C001550,Add To Cart
E0000026,C001837,Menu View
E0000027,C000857,App Open
E0000028,C002328,Order Complete
E0000029,C001278,Menu View
E0000030,C000598,Add To Cart
E0000031,C000859,App Open
E0000032,C003637,Add To Cart
E0000033,C002658,Order Complete
E0000034,C002591,Add To Cart
E0000035,C004875,Restaurant View
E0000036,C003039,Checkout
E0000037,C002437,Menu View
E0000038,C000951,Restaurant View
E0000039,C004191,Checkout
E0000040,C000142,Restaurant View
E0000041,C003449,Restaurant View
E0000042,C004079,Restaurant View
E0000043,C003383,Menu View
E0000044,C003557,Add To Cart
E0000045,C003813,Order Complete
E0000046,C004803,Checkout
E0000047,C001744,Add To Cart
E0000048,C002220,Order Complete
E0000049,C002410,Restaurant View
E0000050,C000383,Add To Cart
E0000051,C001855,Checkout
E0000052,C003574,App Open
E0000053,C004030,Order Complete
E0000054,C001345,Add To Cart
E0000055,C000051,Checkout
E0000056,C002775,Restaurant View
E0000057,C003445,App Open
E0000058,C004659,Menu View
E0000059,C004731,Add To Cart
E0000060,C003097,App Open
E0000061,C004380,App Open
E0000062,C003497,Restaurant View
E0000063,C004229,Restaurant View
E0000064,C003210,Checkout
E0000065,C001682,Menu View
E0000066,C000059,Menu View
E0000067,C004444,Restaurant View
E0000068,C004766,Restaurant View
E0000069,C002007,Restaurant View
E0000070,C001105,Checkout
E0000071,C001769,Restaurant View
E0000072,C001854,Restaurant View
E0000073,C004455,Order Complete
E0000074,C000732,App Open
E0000075,C002368,Add To Cart
E0000076,C003590,Add To Cart
E0000077,C002135,Checkout
E0000078,C001344,Order Complete
E0000079,C000026,App Open
E0000080,C003946,Menu View
E0000081,C000700,Checkout
E0000082,C001165,Restaurant View
E0000083,C000591,App Open
E0000084,C000794,Add To Cart
E0000085,C001596,Restaurant View
E0000086,C003580,Checkout
E0000087,C003265,Order Complete
E0000088,C002810,Checkout
E0000089,C004401,App Open
E0000090,C003586,Order Complete
E0000091,C004756,Checkout
E0000092,C002487,Checkout
E0000093,C001425,Add To Cart
E0000094,C001664,Add To Cart
E0000095,C004412,Add To Cart
E0000096,C000473,Menu View
E0000097,C003138,Menu View
E0000098,C000476,Checkout
E0000099,C000290,Restaurant View
E0000100,C001644,Order Complete
E0000101,C002801,Order Complete
E0000102,C002638,Restaurant View
E0000103,C000479,Checkout
E0000104,C004394,Menu View
E0000105,C004246,Restaurant View
E0000106,C004026,App Open
E0000107,C002717,Order Complete
E0000108,C001108,Restaurant View
E0000109,C002007,Add To Cart
E0000110,C000648,Restaurant View
E0000111,C003934,Order Complete
E0000112,C003293,App Open
E0000113,C004804,Checkout
E0000114,C000631,Menu View
E0000115,C003695,Add To Cart
E0000116,C004453,Order Complete
E0000117,C001662,Menu View
E0000118,C000571,Add To Cart
E0000119,C000224,Order Complete
E0000120,C002412,Restaurant View
E0000121,C003004,Restaurant View
E0000122,C000049,Restaurant View
E0000123,C000927,App Open
E0000124,C003334,Add To Cart
E0000125,C001537,App Open
E0000126,C003672,Add To Cart
E0000127,C004372,App Open
E0000128,C002345,Menu View
E0000129,C000417,Add To Cart
E0000130,C003270,Menu View
E0000131,C001689,Checkout
E0000132,C000548,Menu View
E0000133,C001916,Menu View
E0000134,C004703,Add To Cart
E0000135,C003463,Order Complete
E0000136,C000908,App Open
E0000137,C002470,Restaurant View
E0000138,C002707,Add To Cart
E0000139,C000111,Restaurant View
E0000140,C002534,Menu View
E0000141,C004564,Add To Cart
E0000142,C001874,Checkout
E0000143,C002523,Menu View
E0000144,C002773,Order Complete
E0000145,C003287,App Open
E0000146,C004695,Restaurant View
E0000147,C002108,Add To Cart
E0000148,C001045,Menu View
E0000149,C001502,App Open
E0000150,C003971,Menu View
E0000151,C002833,Checkout
E0000152,C003151,Restaurant View
E0000153,C004263,Menu View
E0000154,C001922,Add To Cart
E0000155,C001947,App Open
E0000156,C003752,Menu View
E0000157,C000879,Add To Cart
E0000158,C004875,Menu View
E0000159,C001871,Order Complete
E0000160,C001997,Restaurant View
E0000161,C000099,Restaurant View
E0000162,C001416,Order Complete
E0000163,C001163,Restaurant View
E0000164,C003416,Menu View
E0000165,C004710,Menu View
E0000166,C002853,Menu View
E0000167,C003477,App Open
E0000168,C004694,Checkout
E0000169,C001463,Restaurant View
E0000170,C004370,Order Complete
E0000171,C000222,Order Complete
E0000172,C003865,App Open
E0000173,C004257,Order Complete
E0000174,C004997,Checkout
E0000175,C003312,Menu View
E0000176,C001811,Restaurant View
E0000177,C001261,Restaurant View
E0000178,C001789,App Open
E0000179,C002919,Add To Cart
E0000180,C003295,Restaurant View
E0000181,C003583,Menu View
E0000182,C000085,Add To Cart
E0000183,C003854,Menu View
E0000184,C000681,Add To Cart
E0000185,C002161,App Open
E0000186,C001557,App Open
E0000187,C002066,Add To Cart
E0000188,C000313,Restaurant View
E0000189,C000893,Order Complete
E0000190,C000696,Order Complete
E0000191,C001189,Add To Cart
E0000192,C003863,Add To Cart
E0000193,C001130,Restaurant View
E0000194,C002498,Menu View
E0000195,C002173,Add To Cart
E0000196,C004456,Restaurant View
E0000197,C001669,App Open
E0000198,C000789,Menu View
E0000199,C002238,Restaurant View
E0000200,C004967,Add To Cart
E0000201,C002828,Add To Cart
E0000202,C004465,Restaurant View
E0000203,C004170,Checkout
E0000204,C000273,Add To Cart
E0000205,C002194,Checkout
E0000206,C003761,App Open
E0000207,C001487,Checkout
E0000208,C000778,Restaurant View
E0000209,C000015,Order Complete
E0000210,C001940,Checkout
E0000211,C000820,Checkout
E0000212,C004678,Add To Cart
E0000213,C003156,Restaurant View
E0000214,C004675,Menu View
E0000215,C004760,Order Complete
E0000216,C004587,Menu View
E0000217,C003151,Order Complete
E0000218,C004063,Menu View
E0000219,C003290,Order Complete
E0000220,C001524,Order Complete
E0000221,C001694,Menu View
E0000222,C000043,Order Complete
E0000223,C002058,Menu View
E0000224,C000522,Checkout
E0000225,C003554,Order Complete
E0000226,C004775,Checkout
E0000227,C003597,Checkout
E0000228,C001053,Restaurant View
E0000229,C002768,Add To Cart
E0000230,C004853,Add To Cart
E0000231,C004508,Checkout
E0000232,C003858,App Open
E0000233,C004899,App Open
E0000234,C004425,Order Complete
E0000235,C003417,Checkout
E0000236,C000948,App Open
E0000237,C003755,App Open
E0000238,C002433,Add To Cart
E0000239,C001347,Checkout
E0000240,C004971,Menu View
E0000241,C002520,Order Complete
E0000242,C002679,Add To Cart
E0000243,C001002,Restaurant View
E0000244,C003303,Checkout
E0000245,C000677,Restaurant View
E0000246,C001813,Menu View
E0000247,C002646,App Open
E0000248,C001273,Restaurant View
E0000249,C001890,Add To Cart
E0000250,C001413,App Open
E0000251,C003873,Menu View
E0000252,C004067,Restaurant View
