delivery_id,order_id,rider_id,distance_km,delivery_duration
DV0000001,O0000001,D02995,7.8,50
DV0000002,O0000002,D02244,3.2,16
DV0000003,O0000003,D01078,6.1,47
DV0000004,O0000004,D01969,1.8,53
DV0000005,O0000005,D00574,10.7,46
DV0000006,O0000006,D00438,9.9,47
DV0000007,O0000007,D00236,7.0,52
DV0000008,O0000008,D02218,7.5,60
DV0000009,O0000009,D00188,5.9,25
DV0000010,O0000010,D02857,4.5,33
DV0000011,O0000011,D01085,5.0,16
DV0000012,O0000012,D03841,3.1,28
DV0000013,O0000013,D03244,2.2,16
DV0000014,O0000014,D00831,2.5,22
DV0000015,O0000015,D01923,2.5,59
DV0000016,O0000016,D02679,5.7,40
DV0000017,O0000017,D02606,7.9,32
DV0000018,O0000018,D01847,5.1,36
DV0000019,O0000019,D00311,3.2,30
DV0000020,O0000020,D01165,10.4,48
DV0000021,O0000021,D01303,2.1,30
DV0000022,O0000022,D00848,9.2,34
DV0000023,O0000023,D00872,9.3,59
DV0000024,O0000024,D03847,7.1,50
DV0000025,O0000025,D00461,7.6,26
DV0000026,O0000026,D03631,5.2,54
DV0000027,O0000027,D03543,11.8,26
DV0000028,O0000028,D03545,8.7,59
DV0000029,O0000029,D01660,11.8,36
DV0000030,O0000030,D01345,10.5,43
DV0000031,O0000031,D03745,9.6,34
DV0000032,O0000032,D00574,4.3,41
DV0000033,O0000033,D02710,7.3,58
DV0000034,O0000034,D02252,2.4,43
DV0000035,O0000035,D00915,10.0,45
DV0000036,O0000036,D01810,11.2,24
DV0000037,O0000037,D02195,11.9,40
DV0000038,O0000038,D01042,2.0,35
DV0000039,O0000039,D02647,6.7,54
DV0000040,O0000040,D01147,7.0,35
DV0000041,O0000041,D02308,6.4,46
DV0000042,O0000042,D02425,7.7,24
DV0000043,O0000043,D03382,11.2,23
DV0000044,O0000044,D03648,1.1,52
DV0000045,O0000045,D01150,5.7,58
DV0000046,O0000046,D03462,2.0,23
DV0000047,O0000047,D02321,8.6,31
DV0000048,O0000048,D03959,6.0,49
DV0000049,O0000049,D03857,10.8,48
DV0000050,O0000050,D03648,7.5,31
DV0000051,O0000051,D03095,10.3,44
DV0000052,O0000052,D00730,3.0,22
DV0000053,O0000053,D03630,1.3,45
DV0000054,O0000054,D01367,5.6,44
DV0000055,O0000055,D03917,2.9,43
DV0000056,O0000056,D03402,10.9,21
DV0000057,O0000057,D03944,3.6,55
DV0000058,O0000058,D00690,4.3,33
DV0000059,O0000059,D02089,9.6,55
DV0000060,O0000060,D01312,6.1,16
DV0000061,O0000061,D03141,8.9,52
DV0000062,O0000062,D01987,6.9,54
DV0000063,O0000063,D02953,3.0,52
DV0000064,O0000064,D00688,4.6,54
DV0000065,O0000065,D02296,7.7,49
DV0000066,O0000066,D02527,9.0,58
DV0000067,O0000067,D01144,10.6,35
DV0000068,O0000068,D01374,3.2,30
DV0000069,O0000069,D00210,4.8,57
DV0000070,O0000070,D00029,10.6,24
DV0000071,O0000071,D02103,3.0,22
DV0000072,O0000072,D03019,9.8,19
DV0000073,O0000073,D00978,4.8,24
DV0000074,O0000074,D02270,1.0,42
DV0000075,O0000075,D03700,8.8,45
DV0000076,O0000076,D02450,1.8,55
DV0000077,O0000077,D00493,4.4,19
DV0000078,O0000078,D01922,9.6,32
DV0000079,O0000079,D00616,2.4,48
DV0000080,O0000080,D03920,11.3,25
DV0000081,O0000081,D00423,8.7,55
DV0000082,O0000082,D00807,7.0,58
DV0000083,O0000083,D03394,5.1,22
DV0000084,O0000084,D00625,9.3,46
DV0000085,O0000085,D00218,1.6,21
DV0000086,O0000086,D03835,11.4,57
DV0000087,O0000087,D01604,8.4,47
DV0000088,O0000088,D03471,8.7,16
DV0000089,O0000089,D03085,10.0,36
DV0000090,O0000090,D02514,5.1,25
DV0000091,O0000091,D03668,8.7,25
DV0000092,O0000092,D03124,1.1,24
DV0000093,O0000093,D00168,6.1,34
DV0000094,O0000094,D02780,6.7,47
DV0000095,O0000095,D02798,5.5,58
