order_id,customer_id,restaurant_id,item_id,rider_id,order_datetime,quantity,order_amount,discount_amount,delivery_fee,final_amount,order_status
O0000001,C004879,R00818,M005179,D02995,2026-05-28 22:51:03,2,510,38,23,495,Delivered
O0000002,C002025,R00605,M012300,D02244,2025-12-25 20:40:08,1,538,36,58,560,Delivered
O0000003,C000042,R01233,M012638,D01078,2026-03-26 19:22:26,2,1138,36,51,1153,Cancelled
O0000004,C001411,R00781,M009669,D01969,2026-06-11 17:35:12,1,307,34,25,298,Cancelled
O0000005,C002578,R01464,M004683,D00574,2025-09-02 23:16:39,3,1239,38,29,1230,Delivered
O0000006,C004328,R01027,M004725,D00438,2026-03-12 09:51:44,2,1170,61,38,1147,Delivered
O0000007,C004517,R01152,M003100,D00236,2026-03-07 07:50:11,3,1845,40,27,1832,Delivered
O0000008,C001364,R00286,M014243,D02218,2025-08-23 08:36:52,4,2688,30,43,2701,Delivered
O0000009,C003342,R00419,M006145,D00188,2025-09-09 16:39:35,1,359,76,50,333,Delivered
O0000010,C002560,R00980,M013827,D02857,2026-01-21 03:24:12,1,369,13,24,380,Delivered
O0000011,C000088,R01075,M003803,D01085,2025-11-22 17:26:57,2,868,25,45,888,Delivered
O0000012,C001210,R00233,M000594,D03841,2025-09-20 19:56:13,1,693,42,23,674,Delivered
O0000013,C004951,R00944,M014926,D03244,2026-01-07 22:54:57,3,567,42,53,578,Delivered
O0000014,C002361,R00474,M003485,D00831,2025-07-11 04:37:53,1,470,56,51,465,Delivered
O0000015,C001698,R00664,M006300,D01923,2025-06-20 00:57:10,4,2328,63,27,2292,Delivered
O0000016,C000064,R01338,M009559,D02679,2025-10-09 23:14:06,3,855,31,43,867,Delivered
O0000017,C001365,R00670,M007272,D02606,2026-03-13 17:25:37,1,310,41,36,305,Delivered
O0000018,C000180,R00006,M012684,D01847,2026-04-11 02:00:30,2,1002,98,30,934,Delivered
O0000019,C001381,R00859,M003724,D00311,2026-06-04 14:03:45,3,924,44,51,931,Delivered
O0000020,C001707,R00743,M002207,D01165,2025-08-05 13:57:37,1,426,15,31,442,Delivered
O0000021,C003644,R01080,M005849,D01303,2026-05-17 20:21:42,3,1083,4,55,1134,Delivered
O0000022,C002780,R00742,M014402,D00848,2026-02-20 07:18:24,2,812,29,37,820,Delivered
O0000023,C003568,R01163,M013769,D00872,2025-10-16 22:51:09,3,849,0,22,871,Delivered
O0000024,C001992,R00591,M007430,D03847,2025-07-14 23:12:28,1,465,61,20,424,Delivered
O0000025,C004670,R01203,M012277,D00461,2026-05-14 08:51:15,3,1698,32,42,1708,Delivered
O0000026,C003591,R00518,M013977,D03631,2025-12-10 08:26:11,2,1244,28,24,1240,Delivered
O0000027,C001238,R00072,M010188,D03543,2025-09-04 01:07:01,4,1412,24,51,1439,Delivered
O0000028,C004996,R01232,M000585,D03545,2025-09-16 00:25:23,2,952,60,35,927,Delivered
O0000029,C000597,R01027,M014039,D01660,2025-08-29 22:45:45,3,1209,92,31,1148,Delivered
