review_id,order_id,customer_id,restaurant_rating,delivery_rating
RV0041143,O0041165,C001456,4,4
RV0006887,O0006890,C000921,3,4
RV0019599,O0019609,C004171,5,4
RV0033393,O0033408,C004874,3,4
RV0045194,O0045219,C001015,4,4
RV0003493,O0003494,C001391,3,3
RV0000725,O0000726,C003541,3,3
RV0030638,O0030651,C000354,4,5
RV0037536,O0037554,C001489,5,3
RV0020726,O0020736,C000103,4,4
RV0048109,O0048137,C000630,3,5
RV0005159,O0005161,C001726,5,3
RV0046579,O0046606,C003955,5,4
RV0019031,O0019041,C000674,5,3
RV0022807,O0022817,C000839,4,4
RV0032477,O0032492,C003538,3,5
RV0029284,O0029297,C001988,5,3
RV0040190,O0040211,C004109,5,5
RV0019148,O0019158,C003278,3,5
RV0028405,O0028418,C001692,4,4
RV0031146,O0031160,C000114,5,4
RV0012865,O0012872,C004058,3,5
RV0036177,O0036195,C001918,5,4
RV0017561,O0017570,C004805,5,5
RV0009758,O0009763,C000395,4,4
RV0014845,O0014853,C002164,4,3
RV0026848,O0026859,C002060,5,3
RV0010810,O0010816,C003143,5,3
RV0000199,O0000200,C002385,3,4
RV0026964,O0026975,C000734,5,4
RV0045361,O0045386,C001967,3,4
RV0003494,O0003495,C002175,3,3
RV0034804,O0034820,C002888,3,3
RV0040735,O0040757,C001558,5,4
RV0028035,O0028048,C000722,4,4
RV0041417,O0041439,C004750,4,4
RV0038731,O0038750,C000198,4,4
RV0045493,O0045518,C003746,4,3
RV0034306,O0034321,C000565,3,4
RV0049093,O0049122,C000829,4,5
RV0041388,O0041410,C003688,4,5
RV0044169,O0044193,C000973,3,3
RV0027059,O0027071,C004992,3,5
RV0044037,O0044061,C002539,3,5
RV0019200,O0019210,C000671,5,4
RV0027440,O0027453,C002292,4,5
RV0005662,O0005664,C001936,3,4
RV0019620,O0019630,C003017,4,4
RV0030747,O0030761,C002510,5,5
RV0038424,O0038442,C003945,4,3
RV0001414,O0001415,C000740,3,4
RV0023823,O0023833,C000574,4,3
RV0042265,O0042287,C003328,4,3
RV0015853,O0015861,C003036,5,5
RV0041201,O0041223,C001877,4,4
RV0040584,O0040606,C001891,3,4
RV0014217,O0014225,C000542,4,5
RV0046611,O0046638,C002529,3,5
RV0049160,O0049189,C000640,5,4
RV0010378,O0010383,C000504,4,3
RV0031052,O0031066,C003666,3,4
RV0034755,O0034771,C001497,5,4
RV0021981,O0021991,C002485,3,4
RV0041837,O0041859,C000850,3,4
RV0009804,O0009809,C001535,5,3
RV0033267,O0033282,C003210,5,3
RV0034951,O0034967,C000792,4,3
RV0033984,O0033999,C003287,4,4
RV0043151,O0043175,C004693,3,3
RV0039911,O0039932,C000520,4,3
RV0021465,O0021475,C002592,4,5
RV0004057,O0004058,C003279,4,4
RV0009931,O0009936,C000450,4,5
RV0047001,O0047028,C001128,3,3
RV0035689,O0035705,C001409,3,4
RV0044614,O0044639,C004861,3,3
RV0009058,O0009063,C002898,3,4
RV0000879,O0000880,C003965,5,3
RV0024168,O0024178,C004959,3,5
RV0007786,O0007791,C001307,5,4
RV0017150,O0017158,C004485,5,4
RV0032128,O0032143,C004260,4,3
RV0046293,O0046320,C002675,4,4
RV0044204,O0044228,C002641,5,3
RV0041008,O0041030,C004697,3,4
RV0040559,O0040581,C000289,3,5
RV0020728,O0020738,C002291,5,5
RV0024738,O0024748,C001675,4,5
RV0037718,O0037736,C001340,3,4
RV0049919,O0049949,C003991,4,5
RV0042388,O0042410,C001673,4,4
RV0040604,O0040626,C004498,4,5
RV0035610,O0035626,C004404,3,3
RV0030045,O0030058,C001010,5,3
RV0033834,O0033849,C001283,4,4
RV0035793,O0035809,C004051,3,3
RV0044092,O0044116,C004686,4,5
RV0046739,O0046766,C004409,3,5
RV0034362,O0034378,C002331,4,3
RV0006188,O0006190,C000773,3,5
RV0025891,O0025901,C000607,3,5
RV0006556,O0006559,C001583,4,3
RV0043948,O0043972,C004796,3,5
