order_id,customer_id,restaurant_id,item_id,rider_id,order_datetime,quantity,order_amount,discount_amount,delivery_fee,final_amount,order_status,hour,peak_hour_flag,weekend_flag,cancellation_flag,discount_percentage,estimated_profit,order_size
O0000001,C004879,R00818,M005179,D02995,2026-05-28 22:51:03,2,510,38,23,495,Delivered,22,0,0,0,7.45,99.0,Medium
O0000002,C002025,R00605,M012300,D02244,2025-12-25 20:40:08,1,538,36,58,560,Delivered,20,1,0,0,6.69,112.0,Medium
O0000003,C000042,R01233,M012638,D01078,2026-03-26 19:22:26,2,1138,36,51,1153,Cancelled,19,1,0,1,3.16,230.6,Large
O0000004,C001411,R00781,M009669,D01969,2026-06-11 17:35:12,1,307,34,25,298,Cancelled,17,0,0,1,11.07,59.6,Small
O0000005,C002578,R01464,M004683,D00574,2025-09-02 23:16:39,3,1239,38,29,1230,Delivered,23,0,0,0,3.07,246.0,Large
O0000006,C004328,R01027,M004725,D00438,2026-03-12 09:51:44,2,1170,61,38,1147,Delivered,9,0,0,0,5.21,229.4,Large
O0000007,C004517,R01152,M003100,D00236,2026-03-07 07:50:11,3,1845,40,27,1832,Delivered,7,0,1,0,2.17,366.4,Large
O0000008,C001364,R00286,M014243,D02218,2025-08-23 08:36:52,4,2688,30,43,2701,Delivered,8,0,1,0,1.12,540.2,Large
O0000009,C003342,R00419,M006145,D00188,2025-09-09 16:39:35,1,359,76,50,333,Delivered,16,0,0,0,21.17,66.6,Small
O0000010,C002560,R00980,M013827,D02857,2026-01-21 03:24:12,1,369,13,24,380,Delivered,3,0,0,0,3.52,76.0,Small
O0000011,C000088,R01075,M003803,D01085,2025-11-22 17:26:57,2,868,25,45,888,Delivered,17,0,1,0,2.88,177.6,Medium
O0000012,C001210,R00233,M000594,D03841,2025-09-20 19:56:13,1,693,42,23,674,Delivered,19,1,1,0,6.06,134.8,Medium
O0000013,C004951,R00944,M014926,D03244,2026-01-07 22:54:57,3,567,42,53,578,Delivered,22,0,0,0,7.41,115.6,Medium
O0000014,C002361,R00474,M003485,D00831,2025-07-11 04:37:53,1,470,56,51,465,Delivered,4,0,0,0,11.91,93.0,Medium
O0000015,C001698,R00664,M006300,D01923,2025-06-20 00:57:10,4,2328,63,27,2292,Delivered,0,0,0,0,2.71,458.4,Large
O0000016,C000064,R01338,M009559,D02679,2025-10-09 23:14:06,3,855,31,43,867,Delivered,23,0,0,0,3.63,173.4,Medium
O0000017,C001365,R00670,M007272,D02606,2026-03-13 17:25:37,1,310,41,36,305,Delivered,17,0,0,0,13.23,61.0,Small
O0000018,C000180,R00006,M012684,D01847,2026-04-11 02:00:30,2,1002,98,30,934,Delivered,2,0,1,0,9.78,186.8,Large
O0000019,C001381,R00859,M003724,D00311,2026-06-04 14:03:45,3,924,44,51,931,Delivered,14,1,0,0,4.76,186.2,Large
O0000020,C001707,R00743,M002207,D01165,2025-08-05 13:57:37,1,426,15,31,442,Delivered,13,1,0,0,3.52,88.4,Medium
O0000021,C003644,R01080,M005849,D01303,2026-05-17 20:21:42,3,1083,4,55,1134,Delivered,20,1,1,0,0.37,226.8,Large
O0000022,C002780,R00742,M014402,D00848,2026-02-20 07:18:24,2,812,29,37,820,Delivered,7,0,0,0,3.57,164.0,Medium
O0000023,C003568,R01163,M013769,D00872,2025-10-16 22:51:09,3,849,0,22,871,Delivered,22,0,0,0,0.0,174.2,Medium
O0000024,C001992,R00591,M007430,D03847,2025-07-14 23:12:28,1,465,61,20,424,Delivered,23,0,0,0,13.12,84.8,Medium
O0000025,C004670,R01203,M012277,D00461,2026-05-14 08:51:15,3,1698,32,42,1708,Delivered,8,0,0,0,1.88,341.6,Large
O0000026,C003591,R00518,M013977,D03631,2025-12-10 08:26:11,2,1244,28,24,1240,Delivered,8,0,0,0,2.25,248.0,Large
O0000027,C001238,R00072,M010188,D03543,2025-09-04 01:07:01,4,1412,24,51,1439,Delivered,1,0,0,0,1.7,287.8,Large
O0000028,C004996,R01232,M000585,D03545,2025-09-16 00:25:23,2,952,60,35,927,Delivered,0,0,0,0,6.3,185.4,Large
O0000029,C000597,R01027,M014039,D01660,2025-08-29 22:45:45,3,1209,92,31,1148,Delivered,22,0,0,0,7.61,229.6,Large
O0000030,C000389,R01270,M004192,D01345,2025-08-09 07:39:01,4,1580,67,27,1540,Delivered,7,0,1,0,4.24,308.0,Large
O0000031,C000902,R00078,M009489,D03745,2026-03-15 23:28:21,2,708,17,39,730,Delivered,23,0,1,0,2.4,146.0,Medium
O0000032,C002263,R00681,M009044,D00574,2025-08-25 22:48:55,4,2056,94,53,2015,Delivered,22,0,0,0,4.57,403.0,Large
O0000033,C004514,R01196,M011516,D02710,2026-06-09 10:25:00,1,102,94,47,55,Delivered,10,0,0,0,92.16,11.0,Small
O0000034,C001720,R01231,M013671,D02252,2025-09-16 23:32:36,4,1356,47,21,1330,Delivered,23,0,0,0,3.47,266.0,Large
O0000035,C000745,R00364,M005435,D00915,2026-03-04 16:15:06,1,126,91,31,66,Delivered,16,0,0,0,72.22,13.2,Small
O0000036,C004083,R00327,M000630,D01810,2025-09-06 10:39:52,3,723,45,25,703,Delivered,10,0,1,0,6.22,140.6,Medium
O0000037,C002611,R00791,M014341,D02195,2026-02-15 01:07:36,2,820,22,39,837,Delivered,1,0,1,0,2.68,167.4,Medium
O0000038,C004678,R00437,M006967,D01042,2025-12-16 00:00:54,2,782,67,22,737,Delivered,0,0,0,0,8.57,147.4,Medium
O0000039,C003967,R01304,M008589,D02647,2026-03-20 03:21:01,1,393,62,33,364,Delivered,3,0,0,0,15.78,72.8,Small
O0000040,C000105,R00506,M008267,D01147,2025-08-31 04:20:21,1,470,33,27,464,Delivered,4,0,1,0,7.02,92.8,Medium
O0000041,C001182,R01341,M013843,D02308,2026-02-05 00:00:55,3,534,66,37,505,Delivered,0,0,0,0,12.36,101.0,Medium
O0000042,C002554,R00018,M012811,D02425,2026-03-13 02:20:07,1,458,13,47,492,Delivered,2,0,0,0,2.84,98.4,Medium
O0000043,C002414,R00195,M012625,D03382,2025-07-25 13:24:20,2,874,75,28,827,Delivered,13,1,0,0,8.58,165.4,Medium
