item_id,restaurant_id,cuisine_type,item_name,price,preparation_time
M000001,R01381,South Indian,Pongal,625,22
M000002,R01125,North Indian,Paneer Butter Masala,199,39
M000003,R00269,South Indian,Pongal,625,15
M000004,R01375,Burger,Chicken Burger,418,25
M000005,R00872,Biryani,Paneer Biryani,654,10
M000006,R00625,Chinese,Manchurian,692,16
M000007,R00471,Chinese,Spring Roll,375,22
M000008,R00304,South Indian,Masala Dosa,534,30
M000009,R00951,Burger,Chicken Burger,504,24
M000010,R00976,Biryani,Chicken Biryani,82,17
M000011,R00427,Pizza,Margherita Pizza,604,32
M000012,R00879,South Indian,Masala Dosa,556,41
M000013,R00395,North Indian,Butter Naan,209,36
M000014,R01327,South Indian,Masala Dosa,178,39
M000015,R01064,North Indian,Chole Bhature,471,18
M000016,R00933,South Indian,Idli,125,36
M000017,R01455,South Indian,Pongal,282,36
M000018,R01068,South Indian,Masala Dosa,517,44
M000019,R01465,Burger,Chicken Burger,589,25
M000020,R01163,Desserts,Ice Cream,177,42
M000021,R01039,South Indian,Idli,227,38
M000022,R00408,Chinese,Fried Rice,87,27
M000023,R00839,Biryani,Mutton Biryani,341,23
M000024,R00993,North Indian,Butter Naan,413,18
M000025,R00594,Biryani,Chicken Biryani,463,34
M000026,R00714,North Indian,Chole Bhature,512,32
M000027,R01494,Chinese,Manchurian,536,25
M000028,R00101,Chinese,Fried Rice,299,21
M000029,R00747,Biryani,Mutton Biryani,626,44
M000030,R00579,Chinese,Manchurian,471,43
M000031,R00659,Biryani,Chicken Biryani,268,44
M000032,R01145,Burger,Chicken Burger,368,26
M000033,R00518,Pizza,Pepperoni Pizza,93,24
M000034,R00256,Biryani,Mutton Biryani,632,31
M000035,R00313,Biryani,Paneer Biryani,526,38
M000036,R00053,South Indian,Masala Dosa,130,21
M000037,R01144,Chinese,Noodles,85,31
M000038,R00421,Biryani,Chicken Biryani,160,38
M000039,R00095,Healthy Foods,Grilled Chicken,524,40
M000040,R00386,Burger,Veg Burger,111,43
M000041,R00532,North Indian,Paneer Butter Masala,631,35
M000042,R00238,South Indian,Pongal,96,18
M000043,R00479,South Indian,Pongal,679,21
M000044,R00448,Burger,Chicken Burger,561,14
M000045,R01209,Burger,Chicken Burger,404,45
M000046,R00549,Chinese,Spring Roll,309,12
M000047,R00465,Biryani,Veg Biryani,665,32
M000048,R01003,South Indian,Masala Dosa,195,19
M000049,R00215,Desserts,Brownie,409,24
M000050,R00306,Pizza,Pepperoni Pizza,203,37
M000051,R01007,South Indian,Idli,106,19
M000052,R01275,South Indian,Pongal,431,12
M000053,R01287,South Indian,Vada,192,42
M000054,R01048,South Indian,Uttapam,170,27
M000055,R01255,Biryani,Paneer Biryani,674,38
M000056,R00731,South Indian,Uttapam,83,45
M000057,R00671,Pizza,Margherita Pizza,376,13
M000058,R00747,Biryani,Mutton Biryani,522,28
M000059,R01410,South Indian,Pongal,605,15
M000060,R01077,Burger,Veg Burger,228,12
M000061,R01206,Chinese,Noodles,618,35
M000062,R00497,South Indian,Idli,135,29
M000063,R00486,South Indian,Pongal,167,17
M000064,R00320,South Indian,Masala Dosa,520,37
M000065,R01453,North Indian,Dal Makhani,390,11
M000066,R01382,Pizza,Margherita Pizza,622,32
M000067,R00881,Chinese,Fried Rice,461,29
M000068,R00846,Chinese,Spring Roll,573,18
M000069,R00174,North Indian,Paneer Butter Masala,427,43
M000070,R01368,South Indian,Idli,448,14
M000071,R00694,North Indian,Paneer Butter Masala,204,39
M000072,R00686,Chinese,Fried Rice,435,26
M000073,R00055,Biryani,Veg Biryani,644,17
M000074,R01289,Chinese,Fried Rice,184,12
M000075,R01078,Biryani,Mutton Biryani,161,33
M000076,R01118,North Indian,Paneer Butter Masala,366,16
M000077,R01088,South Indian,Pongal,205,35
M000078,R00685,South Indian,Vada,397,21
M000079,R00260,South Indian,Uttapam,505,36
M000080,R00408,Chinese,Noodles,130,35
M000081,R00140,Biryani,Chicken Biryani,372,13
M000082,R00277,South Indian,Uttapam,337,21
M000083,R01352,Biryani,Mutton Biryani,350,17
M000084,R01487,Burger,Chicken Burger,616,18
M000085,R01041,South Indian,Masala Dosa,610,45
M000086,R00090,Pizza,Farmhouse Pizza,309,15
M000087,R00115,Pizza,Pepperoni Pizza,236,14
M000088,R01392,South Indian,Masala Dosa,115,27
M000089,R00244,Chinese,Spring Roll,267,31
M000090,R00023,Biryani,Veg Biryani,393,26
M000091,R00196,Chinese,Manchurian,403,28
M000092,R01372,South Indian,Vada,572,19
M000093,R00530,North Indian,Dal Makhani,671,28
M000094,R00604,Pizza,Margherita Pizza,439,13
M000095,R00829,North Indian,Paneer Butter Masala,121,22
M000096,R00184,Burger,Veg Burger,575,37
M000097,R01020,Biryani,Veg Biryani,150,15
M000098,R01386,Desserts,Brownie,564,35
M000099,R00886,Pizza,Margherita Pizza,290,39
M000100,R00976,Biryani,Veg Biryani,588,27
M000101,R00729,North Indian,Dal Makhani,405,29
M000102,R00821,North Indian,Paneer Butter Masala,246,29
M000103,R00175,Chinese,Spring Roll,432,16
M000104,R01027,Biryani,Mutton Biryani,121,12
M000105,R00592,Chinese,Manchurian,400,28
M000106,R01281,Biryani,Chicken Biryani,113,28
M000107,R00165,Burger,Veg Burger,624,33
M000108,R00942,Burger,Cheese Burger,181,14
M000109,R01299,Pizza,Veg Pizza,254,23
M000110,R00065,South Indian,Vada,88,34
M000111,R00606,South Indian,Pongal,315,42
M000112,R01134,Biryani,Veg Biryani,422,15
M000113,R01136,Pizza,Pepperoni Pizza,462,32
M000114,R00551,South Indian,Pongal,541,21
M000115,R00014,Biryani,Veg Biryani,545,45
M000116,R01025,Burger,Veg Burger,316,39
M000117,R00800,Healthy Foods,Salad Bowl,204,12
M000118,R00211,Chinese,Fried Rice,486,21
M000119,R00201,Biryani,Mutton Biryani,120,12
M000120,R01354,Biryani,Chicken Biryani,104,18
M000121,R00412,North Indian,Paneer Butter Masala,272,18
M000122,R01415,South Indian,Uttapam,503,23
M000123,R00300,Pizza,Farmhouse Pizza,671,23
M000124,R00321,North Indian,Chole Bhature,606,34
M000125,R01413,Pizza,Veg Pizza,214,11
M000126,R01246,South Indian,Vada,171,41
M000127,R01084,South Indian,Uttapam,187,22
M000128,R00119,North Indian,Butter Naan,519,17
M000129,R00581,South Indian,Masala Dosa,563,12
M000130,R00443,Pizza,Veg Pizza,588,16
M000131,R00423,Biryani,Paneer Biryani,222,35
M000132,R01295,Pizza,Farmhouse Pizza,110,28
M000133,R01302,South Indian,Idli,528,41
M000134,R01417,Chinese,Noodles,322,18
M000135,R01445,Biryani,Veg Biryani,113,39
M000136,R00499,Chinese,Noodles,204,13
M000137,R00706,Pizza,Farmhouse Pizza,568,13
M000138,R01165,Burger,Cheese Burger,377,38
M000139,R01337,Burger,Cheese Burger,629,22
M000140,R01402,North Indian,Paneer Butter Masala,638,36
M000141,R00367,Chinese,Manchurian,306,24
M000142,R00718,North Indian,Dal Makhani,696,42
M000143,R00753,Biryani,Veg Biryani,370,43
M000144,R00097,South Indian,Vada,627,38
M000145,R00303,North Indian,Paneer Butter Masala,343,32
M000146,R00626,Biryani,Veg Biryani,274,10
M000147,R00025,North Indian,Paneer Butter Masala,91,34
M000148,R00854,Biryani,Mutton Biryani,556,10
M000149,R01283,North Indian,Dal Makhani,428,24
M000150,R00513,Pizza,Farmhouse Pizza,494,11
M000151,R00847,South Indian,Pongal,479,28
M000152,R00549,Chinese,Manchurian,451,28
M000153,R01363,Biryani,Chicken Biryani,381,21
M000154,R00743,South Indian,Pongal,218,26
M000155,R00450,South Indian,Uttapam,88,42
M000156,R00675,South Indian,Masala Dosa,345,43
M000157,R01245,Pizza,Pepperoni Pizza,151,27
M000158,R00190,Chinese,Fried Rice,446,22
M000159,R00406,Biryani,Veg Biryani,601,19
M000160,R00376,South Indian,Uttapam,430,21
M000161,R00262,South Indian,Masala Dosa,569,17
M000162,R01493,Pizza,Pepperoni Pizza,552,17
M000163,R00441,North Indian,Dal Makhani,194,44
M000164,R00283,Burger,Cheese Burger,265,36
M000165,R00058,Burger,Veg Burger,597,14
M000166,R01329,South Indian,Vada,227,13
M000167,R00429,Biryani,Veg Biryani,319,25
M000168,R00680,Chinese,Manchurian,336,28
M000169,R01080,Pizza,Farmhouse Pizza,519,27
M000170,R00423,Biryani,Chicken Biryani,602,12
M000171,R01205,North Indian,Dal Makhani,119,26
M000172,R00255,South Indian,Pongal,101,20
M000173,R00470,South Indian,Pongal,361,20
M000174,R00897,Burger,Veg Burger,306,36
M000175,R00843,Burger,Cheese Burger,383,28
M000176,R00911,South Indian,Uttapam,194,29
M000177,R00653,Biryani,Mutton Biryani,637,18
M000178,R00783,South Indian,Pongal,533,30
M000179,R01120,South Indian,Idli,646,42
M000180,R00731,South Indian,Uttapam,321,28
