payment_id,order_id,payment_method,payment_status
P0000001,O0000001,Wallet,Success
P0000002,O0000002,UPI,Success
P0000003,O0000003,UPI,Refunded
P0000004,O0000004,Wallet,Refunded
P0000005,O0000005,UPI,Success
P0000006,O0000006,UPI,Success
P0000007,O0000007,UPI,Success
P0000008,O0000008,Wallet,Success
P0000009,O0000009,UPI,Success
P0000010,O0000010,Credit Card,Success
P0000011,O0000011,UPI,Success
P0000012,O0000012,Debit Card,Success
P0000013,O0000013,UPI,Success
P0000014,O0000014,UPI,Success
P0000015,O0000015,UPI,Success
P0000016,O0000016,UPI,Success
P0000017,O0000017,UPI,Success
P0000018,O0000018,UPI,Success
P0000019,O0000019,UPI,Success
P0000020,O0000020,Debit Card,Success
P0000021,O0000021,UPI,Success
P0000022,O0000022,Credit Card,Success
P0000023,O0000023,UPI,Success
P0000024,O0000024,UPI,Success
P0000025,O0000025,UPI,Success
P0000026,O0000026,UPI,Success
P0000027,O0000027,Wallet,Success
P0000028,O0000028,UPI,Success
P0000029,O0000029,UPI,Success
P0000030,O0000030,Credit Card,Success
P0000031,O0000031,Cash,Success
P0000032,O0000032,UPI,Success
P0000033,O0000033,UPI,Success
P0000034,O0000034,Credit Card,Success
P0000035,O0000035,Debit Card,Success
P0000036,O0000036,Debit Card,Success
P0000037,O0000037,UPI,Success
P0000038,O0000038,Credit Card,Success
P0000039,O0000039,UPI,Success
P0000040,O0000040,UPI,Success
P0000041,O0000041,Credit Card,Success
P0000042,O0000042,UPI,Success
P0000043,O0000043,UPI,Success
P0000044,O0000044,UPI,Success
P0000045,O0000045,Debit Card,Success
P0000046,O0000046,UPI,Success
P0000047,O0000047,Wallet,Success
P0000048,O0000048,UPI,Success
P0000049,O0000049,UPI,Success
P0000050,O0000050,UPI,Success
P0000051,O0000051,UPI,Success
P0000052,O0000052,UPI,Success
P0000053,O0000053,UPI,Success
P0000054,O0000054,UPI,Refunded
P0000055,O0000055,UPI,Success
P0000056,O0000056,UPI,Success
P0000057,O0000057,UPI,Success
P0000058,O0000058,Credit Card,Success
P0000059,O0000059,Credit Card,Success
P0000060,O0000060,UPI,Success
P0000061,O0000061,Credit Card,Success
P0000062,O0000062,Wallet,Success
P0000063,O0000063,Credit Card,Success
P0000064,O0000064,Debit Card,Success
P0000065,O0000065,UPI,Success
P0000066,O0000066,Cash,Success
P0000067,O0000067,UPI,Success
P0000068,O0000068,UPI,Success
P0000069,O0000069,Wallet,Success
P0000070,O0000070,Credit Card,Success
P0000071,O0000071,UPI,Success
P0000072,O0000072,UPI,Success
P0000073,O0000073,Credit Card,Success
P0000074,O0000074,Wallet,Success
P0000075,O0000075,Debit Card,Success
P0000076,O0000076,UPI,Success
P0000077,O0000077,Cash,Success
P0000078,O0000078,UPI,Success
P0000079,O0000079,Wallet,Success
P0000080,O0000080,UPI,Success
P0000081,O0000081,UPI,Success
P0000082,O0000082,Wallet,Success
P0000083,O0000083,UPI,Success
P0000084,O0000084,Wallet,Success
P0000085,O0000085,UPI,Success
P0000086,O0000086,UPI,Success
P0000087,O0000087,UPI,Success
P0000088,O0000088,Debit Card,Success
P0000089,O0000089,UPI,Success
P0000090,O0000090,UPI,Success
P0000091,O0000091,Credit Card,Success
P0000092,O0000092,UPI,Success
P0000093,O0000093,UPI,Success
