promo_id,promo_name,promo_type,discount_percentage,campaign_budget
PR0001,Campaign_1,Free Delivery,6,88101
PR0002,Campaign_2,Flat Discount,9,55607
PR0003,Campaign_3,Free Delivery,14,93875
PR0004,Campaign_4,Cashback,33,90935
PR0005,Campaign_5,Free Delivery,25,39589
PR0006,Campaign_6,Free Delivery,10,85017
PR0007,Campaign_7,Cashback,33,16046
PR0008,Campaign_8,Percentage Discount,29,76306
PR0009,Campaign_9,Percentage Discount,20,52621
PR0010,Campaign_10,Percentage Discount,13,83731
PR0011,Campaign_11,Flat Discount,39,68777
PR0012,Campaign_12,Flat Discount,35,22135
PR0013,Campaign_13,Percentage Discount,10,99016
PR0014,Campaign_14,Cashback,8,50308
PR0015,Campaign_15,Free Delivery,28,37112
PR0016,Campaign_16,Free Delivery,39,96558
PR0017,Campaign_17,Free Delivery,17,53707
PR0018,Campaign_18,Flat Discount,18,17498
PR0019,Campaign_19,Percentage Discount,7,43861
PR0020,Campaign_20,Flat Discount,36,22298
PR0021,Campaign_21,Free Delivery,31,39075
PR0022,Campaign_22,Free Delivery,8,65135
PR0023,Campaign_23,Free Delivery,34,89186
PR0024,Campaign_24,Free Delivery,17,49775
PR0025,Campaign_25,Free Delivery,12,23653
PR0026,Campaign_26,Flat Discount,14,79883
PR0027,Campaign_27,Percentage Discount,13,97254
PR0028,Campaign_28,Free Delivery,22,59910
PR0029,Campaign_29,Percentage Discount,15,60257
PR0030,Campaign_30,Flat Discount,28,85246
PR0031,Campaign_31,Free Delivery,29,29580
PR0032,Campaign_32,Percentage Discount,38,16690
PR0033,Campaign_33,Cashback,10,87971
PR0034,Campaign_34,Percentage Discount,34,73988
PR0035,Campaign_35,Cashback,13,63137
PR0036,Campaign_36,Percentage Discount,7,26526
PR0037,Campaign_37,Flat Discount,31,52850
PR0038,Campaign_38,Free Delivery,22,67240
PR0039,Campaign_39,Flat Discount,37,75047
PR0040,Campaign_40,Percentage Discount,8,33068
PR0041,Campaign_41,Flat Discount,36,60535
PR0042,Campaign_42,Cashback,29,55180
